ID,Il,yıllık_ortalama_sicaklik,Nufus,Elektrik,Issizlik,Ortalama_Maas,Kira,Eğitim,Suc_Orani
id_57,Sinop,14.1,229716.0,1793.0,4.8,25500,19827,4,0.53
id_58,Sivas,9.0,650401.0,2014.0,10.3,26500,15696,4,0.42
id_59,Tekirdağ,14.0,1167059.0,7266.0,7.3,30500,24894,6,0.75
id_60,Tokat,12.9,606934.0,1567.0,6.9,25500,17945,4,0.55
id_61,Trabzon,14.7,824352.0,1888.0,7.7,29500,21043,7,0.47
id_62,Tunceli,12.8,89317.0,1459.0,7.0,25000,19234,4,0.29
id_63,Şanlıurfa,18.2,2213964.0,2967.0,9.9,28000,15876,5,0.23
id_64,Uşak,12.5,377001.0,5181.0,8.6,26000,17685,4,0.8
id_65,Van,9.1,1127612.0,1054.0,19.1,26500,12569,4,0.21
id_66,Yozgat,9.1,420699.0,2063.0,6.7,25000,16543,4,0.58
id_67,Zonguldak,13.7,591492.0,5090.0,11.0,27000,19789,4,0.56
id_68,Aksaray,12.1,438504.0,3120.0,7.3,25000,17865,4,0.83
id_69,Bayburt,7.2,86047.0,1248.0,6.7,25000,14459,3,0.18
id_70,Karaman,12.1,263960.0,3825.0,6.9,25500,18963,4,0.83
id_71,Kırıkkale,12.6,285744.0,3110.0,11.8,26000,17543,4,0.7
id_72,Batman,16.5,647205.0,1697.0,12.9,26000,15234,4,0.25
id_73,Şırnak,13.0,570745.0,1236.0,13.1,25500,13982,2,0.15
id_74,Bartın,12.8,207238.0,3066.0,8.1,25500,17245,4,0.49
id_75,Ardahan,3.9,92819.0,1493.0,5.8,25000,11679,3,0.31
id_76,Iğdır,12.3,209738.0,1089.0,14.0,25000,16127,4,0.36
id_77,Yalova,14.7,304780.0,4706.0,10.7,27500,24567,6,0.63
id_78,Karabük,13.4,255242.0,7667.0,11.8,26000,18235,4,0.58
id_79,Kilis,17.0,155179.0,3752.0,10.7,25000,14920,3,0.52
id_80,Osmaniye,18.3,557666.0,6626.0,16.7,16700,16700,2,0.77
id_81,Düzce,13.3,409865.0,3382.0,9.4,25000,17123,4,0.65
